"jdv4p","q23","region","agglo","sexe","age_int_reg","pcschef_r","pcsint_r","diplome","religion","pratiquerel"
"François Hollande","France 3","Sud  Est","20 000 à 100 000 habitants","Homme","35 à 49 ans","ouvriers","ouvriers","CAP/BEP","Sans religion","NA"
"François Bayrou","Aucune","Centre","20 000 à 100 000 habitants","Femme","25 à 34 ans","ouvriers","retraités / autres inactifs","Diplôme de l'enseignement supérieur","Musulmane","Une ou deux fois par mois"
"Abstention","BFM TV","Paris","Agglomération parisienne","Femme","35 à 49 ans","ouvriers","ouvriers","Sans diplôme","Catholique","De temps en temps, aux grandes fêtes"
"François Hollande","TF1","Sud  Est","Plus de 100 000 habitants","Femme","35 à 49 ans","ouvriers","ouvriers","Sans diplôme","Sans religion","NA"
"François Hollande","France 2","Sud  Est","2 000 à 20 000 habitants","Femme","35 à 49 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","employés et personnels de services","BAC+2 / niveau BAC+2","Catholique","Uniquement pour les cérémonies, mariages"
"Abstention","TF1","Ouest","2 000 à 20 000 habitants","Homme","35 à 49 ans","ouvriers","ouvriers","BAC+2 / niveau BAC+2","Sans religion","NA"
"Abstention","Aucune","Sud  Est","Plus de 100 000 habitants","Femme","50 à 64 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","BAC+2 / niveau BAC+2","Sans opinion","NA"
"Nicolas Sarkozy","TF1","Ouest","Plus de 100 000 habitants","Homme","65 ans et plus","employés et personnels de services","employés et personnels de services","BAC technique","Catholique","Au moins une fois par semaine"
"NA","France 3","Centre","Moins de 2000 habitants","Homme","65 ans et plus","artisans, commercants et chef d entreprises","artisans, commercants et chef d entreprises","Certificat d'études primaires","Catholique","Uniquement pour les cérémonies, mariages"
"Marine Le Pen","Autre","Sud Ouest","2 000 à 20 000 habitants","Homme","35 à 49 ans","artisans, commercants et chef d entreprises","artisans, commercants et chef d entreprises","BEPC","Sans religion","NA"
"Abstention","M6","Paris","Agglomération parisienne","Femme","18 à 24 ans","professions libérales et cadres","retraités / autres inactifs","Diplôme de l'enseignement supérieur","Catholique","De temps en temps, aux grandes fêtes"
"Abstention","Aucune","Ouest","2 000 à 20 000 habitants","Femme","65 ans et plus","artisans, commercants et chef d entreprises","professions intermédiaires, techniciens, contremaitres et agents de maitrise","BAC+2 / niveau BAC+2","Sans religion","NA"
"Nicolas Sarkozy","Autre","Sud  Est","2 000 à 20 000 habitants","Femme","65 ans et plus","agriculteurs exploitants","professions intermédiaires, techniciens, contremaitres et agents de maitrise","Diplôme de l'enseignement supérieur","Catholique","Au moins une fois par semaine"
"Eva Joly","Aucune","Ouest","Plus de 100 000 habitants","Homme","50 à 64 ans","professions libérales et cadres","professions libérales et cadres","Diplôme de l'enseignement supérieur","Sans religion","NA"
"François Hollande","France 2","Sud  Est","Plus de 100 000 habitants","Femme","35 à 49 ans","professions libérales et cadres","professions libérales et cadres","Diplôme de l'enseignement supérieur","Sans opinion","NA"
"Marine Le Pen","France 2","Centre","Moins de 2000 habitants","Femme","35 à 49 ans","ouvriers","ouvriers","CAP/BEP","Catholique","Sans opinion"
"Abstention","France 2","Sud Ouest","2 000 à 20 000 habitants","Femme","50 à 64 ans","professions libérales et cadres","professions libérales et cadres","Diplôme de l'enseignement supérieur","Catholique","Uniquement pour les cérémonies, mariages"
"Jean-Luc Mélenchon","France 2","Ouest","Moins de 2000 habitants","Homme","65 ans et plus","ouvriers","ouvriers","CAP/BEP","Catholique","Uniquement pour les cérémonies, mariages"
"François Hollande","M6","Sud  Est","Plus de 100 000 habitants","Femme","50 à 64 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","CAP/BEP","Juive","De temps en temps, aux grandes fêtes"
"François Hollande","Aucune","Sud Ouest","20 000 à 100 000 habitants","Homme","50 à 64 ans","ouvriers","ouvriers","CAP/BEP","Musulmane","De temps en temps, aux grandes fêtes"
"François Hollande","Aucune","Sud  Est","2 000 à 20 000 habitants","Femme","35 à 49 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","Diplôme de l'enseignement supérieur","Sans religion","NA"
"Jean-Luc Mélenchon","Aucune","Sud  Est","Plus de 100 000 habitants","Homme","18 à 24 ans","agriculteurs exploitants","retraités / autres inactifs","Diplôme de l'enseignement supérieur","Sans religion","NA"
"François Hollande","France 2","Sud  Est","Moins de 2000 habitants","Femme","50 à 64 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","BAC général","Catholique","De temps en temps, aux grandes fêtes"
"Abstention","Aucune","Sud Ouest","Plus de 100 000 habitants","Homme","18 à 24 ans","professions libérales et cadres","retraités / autres inactifs","Diplôme de l'enseignement supérieur","Sans religion","NA"
"François Hollande","Aucune","Nord","2 000 à 20 000 habitants","Homme","65 ans et plus","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","BAC+2 / niveau BAC+2","Sans religion","NA"
"Abstention","Aucune","Sud Ouest","2 000 à 20 000 habitants","Femme","25 à 34 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","Diplôme de l'enseignement supérieur","Sans religion","NA"
"François Bayrou","TF1","Sud  Est","Plus de 100 000 habitants","Femme","65 ans et plus","retraités / autres inactifs","retraités / autres inactifs","BEPC","Catholique","Uniquement pour les cérémonies, mariages"
"Marine Le Pen","TF1","Ouest","20 000 à 100 000 habitants","Femme","25 à 34 ans","employés et personnels de services","employés et personnels de services","BAC général","Catholique","Uniquement pour les cérémonies, mariages"
"Jean-Luc Mélenchon","TF1","Nord","20 000 à 100 000 habitants","Homme","25 à 34 ans","ouvriers","ouvriers","CAP/BEP","Sans religion","NA"
"François Hollande","BFM TV","Centre","2 000 à 20 000 habitants","Homme","65 ans et plus","ouvriers","ouvriers","Sans diplôme","Catholique","De temps en temps, aux grandes fêtes"
"Nicolas Sarkozy","France 2","Est","20 000 à 100 000 habitants","Femme","65 ans et plus","employés et personnels de services","employés et personnels de services","BEPC","Catholique","De temps en temps, aux grandes fêtes"
"François Bayrou","Aucune","Ouest","Moins de 2000 habitants","Femme","65 ans et plus","professions libérales et cadres","professions libérales et cadres","Diplôme de l'enseignement supérieur","Catholique","De temps en temps, aux grandes fêtes"
"Nicolas Sarkozy","France 2","Centre","Plus de 100 000 habitants","Homme","65 ans et plus","professions libérales et cadres","professions libérales et cadres","Diplôme de l'enseignement supérieur","Catholique","Uniquement pour les cérémonies, mariages"
"Jean-Luc Mélenchon","France 2","Sud  Est","Moins de 2000 habitants","Homme","65 ans et plus","professions libérales et cadres","professions libérales et cadres","CAP/BEP","Sans religion","NA"
"Nicolas Sarkozy","TF1","Nord","Plus de 100 000 habitants","Homme","65 ans et plus","ouvriers","ouvriers","BEPC","Catholique","De temps en temps, aux grandes fêtes"
"François Hollande","France 2","Sud Ouest","Moins de 2000 habitants","Femme","50 à 64 ans","ouvriers","professions intermédiaires, techniciens, contremaitres et agents de maitrise","Certificat d'études primaires","Sans religion","NA"
"Marine Le Pen","France 2","Nord","Plus de 100 000 habitants","Femme","65 ans et plus","ouvriers","ouvriers","Certificat d'études primaires","Sans religion","NA"
"Nicolas Sarkozy","France 2","Sud  Est","Plus de 100 000 habitants","Femme","50 à 64 ans","ouvriers","retraités / autres inactifs","CAP/BEP","Juive","De temps en temps, aux grandes fêtes"
"Abstention","Aucune","Sud  Est","Moins de 2000 habitants","Homme","18 à 24 ans","ouvriers","retraités / autres inactifs","Diplôme de l'enseignement supérieur","Musulmane","Au moins une fois par semaine"
"Abstention","France 2","Sud  Est","Moins de 2000 habitants","Homme","65 ans et plus","employés et personnels de services","employés et personnels de services","Certificat d'études primaires","Catholique","Uniquement pour les cérémonies, mariages"
"Abstention","France 2","Ouest","Plus de 100 000 habitants","Femme","65 ans et plus","professions intermédiaires, techniciens, contremaitres et agents de maitrise","artisans, commercants et chef d entreprises","Sans diplôme","Catholique","Uniquement pour les cérémonies, mariages"
"François Hollande","France 2","Sud Ouest","20 000 à 100 000 habitants","Homme","65 ans et plus","employés et personnels de services","employés et personnels de services","Certificat d'études primaires","Sans religion","NA"
"François Hollande","France 2","Sud  Est","Plus de 100 000 habitants","Homme","50 à 64 ans","ouvriers","ouvriers","BEPC","Catholique","De temps en temps, aux grandes fêtes"
"Nicolas Sarkozy","TF1","Nord","20 000 à 100 000 habitants","Femme","25 à 34 ans","employés et personnels de services","employés et personnels de services","BAC+2 / niveau BAC+2","Sans religion","NA"
"François Hollande","BFM TV","Centre","Moins de 2000 habitants","Homme","65 ans et plus","employés et personnels de services","employés et personnels de services","BEPC","Catholique","Uniquement pour les cérémonies, mariages"
"Nicolas Sarkozy","I-télé","Est","2 000 à 20 000 habitants","Homme","50 à 64 ans","artisans, commercants et chef d entreprises","artisans, commercants et chef d entreprises","Diplôme de l'enseignement supérieur","Sans religion","NA"
"Abstention","BFM TV","Ouest","Moins de 2000 habitants","Femme","18 à 24 ans","retraités / autres inactifs","retraités / autres inactifs","Diplôme de l'enseignement supérieur","Sans religion","NA"
"François Bayrou","France 2","Ouest","Moins de 2000 habitants","Femme","65 ans et plus","professions libérales et cadres","professions libérales et cadres","BAC+2 / niveau BAC+2","Catholique","Uniquement pour les cérémonies, mariages"
"Marine Le Pen","France 3","Centre","20 000 à 100 000 habitants","Femme","65 ans et plus","employés et personnels de services","employés et personnels de services","Certificat d'études primaires","Catholique","Une ou deux fois par mois"
"François Hollande","France 2","Est","Moins de 2000 habitants","Homme","65 ans et plus","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","BEPC","Catholique","De temps en temps, aux grandes fêtes"
"Abstention","Aucune","Sud  Est","Plus de 100 000 habitants","Homme","25 à 34 ans","employés et personnels de services","employés et personnels de services","Diplôme de l'enseignement supérieur","Sans religion","NA"
"Nicolas Sarkozy","TF1","Centre","Plus de 100 000 habitants","Femme","65 ans et plus","retraités / autres inactifs","professions libérales et cadres","BAC+2 / niveau BAC+2","Sans religion","NA"
"François Hollande","Canal +","Est","Plus de 100 000 habitants","Homme","25 à 34 ans","ouvriers","ouvriers","CAP/BEP","Musulmane","Jamais"
"François Bayrou","France 3","Ouest","Moins de 2000 habitants","Femme","35 à 49 ans","professions libérales et cadres","employés et personnels de services","Diplôme de l'enseignement supérieur","Catholique","Une ou deux fois par mois"
"Nicolas Sarkozy","France 2","Ouest","20 000 à 100 000 habitants","Femme","35 à 49 ans","professions libérales et cadres","retraités / autres inactifs","BAC général","Catholique","De temps en temps, aux grandes fêtes"
"Nicolas Sarkozy","TF1","Sud  Est","Plus de 100 000 habitants","Femme","35 à 49 ans","ouvriers","ouvriers","CAP/BEP","Catholique","Uniquement pour les cérémonies, mariages"
